
#map
#end_map 
#light
#end_light 
#flow
#end_flow

#taxi
0,2,0,(79,0)
1,2,0,(10,10)
2,2,0,(10,10)
3,2,0,(10,10)
4,2,0,(10,10)
5,2,0,(10,10)
6,2,0,(10,10)
7,2,0,(10,10)
8,2,0,(10,10)
9,2,0,(10,10)
10,2,0,(10,10)
11,2,0,(10,10)
12,2,0,(10,10)
13,2,0,(10,10)
14,2,0,(10,10)
15,2,0,(10,10)
16,2,0,(10,10)
17,2,0,(10,10)
18,2,0,(10,10)
19,2,0,(10,10)
20,2,0,(10,10)
21,2,0,(10,10)
22,2,0,(10,10)
23,2,0,(10,10)
24,2,0,(10,10)
25,2,0,(10,10)
26,2,0,(10,10)
27,2,0,(10,10)
28,2,0,(10,10)
29,2,0,(10,10)
30,2,0,(10,10)
31,2,0,(10,10)
32,2,0,(10,10)
33,2,0,(10,10)
34,2,0,(10,10)
35,2,0,(10,10)
36,2,0,(10,10)
37,2,0,(10,10)
38,2,0,(10,10)
39,2,0,(10,10)
40,2,0,(10,10)
41,2,0,(10,10)
42,2,0,(10,10)
43,2,0,(10,10)
44,2,0,(10,10)
45,2,0,(10,10)
46,2,0,(10,10)
47,2,0,(10,10)
48,2,0,(10,10)
49,2,0,(10,10)
50,2,0,(10,10)
51,2,0,(10,10)
52,2,0,(10,10)
53,2,0,(10,10)
54,2,0,(10,10)
55,2,0,(10,10)
56,2,0,(10,10)
57,2,0,(10,10)
58,2,0,(10,10)
59,2,0,(10,10)
60,2,0,(10,10)
61,2,0,(10,10)
62,2,0,(10,10)
63,2,0,(10,10)
64,2,0,(10,10)
65,2,0,(10,10)
66,2,0,(10,10)
67,2,0,(10,10)
68,2,0,(10,10)
69,2,0,(10,10)
70,2,0,(10,10)
71,2,0,(10,10)
72,2,0,(10,10)
73,2,0,(10,10)
74,2,0,(10,10)
75,2,0,(10,10)
76,2,0,(10,10)
77,2,0,(10,10)
78,2,0,(10,10)
79,2,0,(10,10)
80,2,0,(10,10)
81,2,0,(10,10)
82,2,0,(10,10)
83,2,0,(10,10)
84,2,0,(10,10)
85,2,0,(10,10)
86,2,0,(10,10)
87,2,0,(10,10)
88,2,0,(10,10)
89,2,0,(10,10)
90,2,0,(10,10)
91,2,0,(10,10)
92,2,0,(10,10)
93,2,0,(10,10)
94,2,0,(10,10)
95,2,0,(10,10)
96,2,0,(10,10)
97,2,0,(10,10)
98,2,0,(10,10)
99,2,0,(10,10)
#end_taxi

#request
(79,0),(78,0)
#end_request
